id_key,value,match
69,Huntoon #1,Huntoon #1
70,Huntoon #2,Huntoon #2
6,Camplex #1,CAMPLEX #1
9,CBM-MON-1W (Saunders),CBM-MON-1W (Saunders)
12,CBM-MON-2W (Bennor),CBM-MON-2W (Bennor)
15,CBM-MON-3W (Tripp),CBM-MON-3W (Tripp)
18,CBM-MON-4W (Davis),CBM-MON-4W (Davis)
21,CBM-MON-5W (Barrett),CBM-MON-5W (Barrett)
22,CBM-MON-6 (Murray),CBM-MON-6 (Murray)
24,CBM-MON-7W (Stuart),CBM-MON-7W (Stuart)
53,G-MON-1 (Sports Bar),G-MON-1 (Sports Bar)
54,G-MON-2 (Warlow),G-MON-2 (Warlow)
55,G-MON-3 (Doud Well),G-MON-3 (Doud Well)
56,G-MON-4 (Old Fair Ground),G-MON-4 (Old Fair Ground)
57,G-MON-5 (Jail),G-MON-5 (Jail)
58,G-MON-6 (Sleepy Hollow),G-MON-6 (Sleepy Hollow)
60,G-MON-8 (Bell Road),G-MON-8 (Bell Road)
72,Jim Kintz Well,Jim Kintz Well
129,Rawhide Village No. 2,Rawhide Village No. 2
146,South Campus No. 1,South Campus No. 1
3,Bill #6,Bill #6
100,Natural Bridge,Natural Bridge
27,CCMOW2,CCMOW-2 (Madison)
28,CCMOW2a,CCMOW-2A (Minnelusa)
29,CCMOW-5 (Madison),CCMOW-5 (Madison)
30,CCMOW-5A (Minn),CCMOW-5A (Minnelusa)
31,CCMOW-6 (Mad),CCMOW-6 (Madison)
32,CCMOW-6A (Minn),CCMOW-6A (Minnelusa)
33,CCMOW-7 (Mad),CCMOW-7 (Madison)
34,CCMOW-8,CCMOW-8
36,Cole 41A Minnelusa,Cole 41A Minnelusa
154,USGS M-1,U.S.G.S M-1
159,Vista West 2,VISTA WEST NO. 2
162,Weston Co 1A,Weston County #1A
#N/A,MW Hydrograph Template,NA
78,Haystack,LaGrange Haystack
67,Hill Well,Hill Well
71,J. Ward,J. Ward
80,LaGrange No 1,LaGrange No.1
79,LaGrange No 2,LaGrange No. 2
105,North Well,Northwell
139,SE Reservoir,SE Corner of Reservoir
148,South Well,Southwell
160,Ward's Yard,Ward's Yard
25,CC Gross,CC Gross
44,Elmer Glantz,Elmer Glantz
49,Fire Station No. 3,Fire Station #3
51,Fornstrom WR,Fornstrom WhiteRiver
81,Laramie Co 1,LC#1
82,Laramie Co 10,LC#10
83,Laramie Co 11,LC#11
84,Laramie Co 13,LC#13
85,Laramie Co 14,LC#14
87,Laramie Co 16,LC#16
88,Laramie Co 17,LC#17
89,Laramie Co 18,LC#18
90,Laramie Co 2,LC#2
91,Laramie Co 3,LC#3
92,Laramie Co 4,LC#4
93,Laramie Co 5,LC#5
94,Laramie Co 6B,LC#6B
95,Laramie Co 7,LC#7
96,Laramie Co 8,LC#8
97,Laramie Co 9,LC#9
98,MX North b-1,MX North B-1
99,MX West B7,MX West B-7
138,Scheel WSW No 1 WR,Scheel White River
141,Shatto WR,Shatto WhiteRiver
155,USGS S Albin,USGS S Albin
156,USGS SE Carpenter,USGS SE Carpenter
157,USGS SW Albin,USGS SW Albin
158,USGS SW Carpenter,USGS SW Carpenter
47,ETSI T-2 Madison,ETSI T-2 Madison (ETSI O-1)
101,Niobrara Co No 1,Niobrara Co. No. 1
102,Niobrara Co No 2,Niobrara Co. No.2
103,Node Well,Node well
63,Goshen County No. 1,Goshen County No. 1
62,Goshen County No. 2,Goshen County #2
120,Prairie Center #3,Prairie Center #3
121,Prairie Center #4,Prairie Center #4
122,Prairie Center #5,Prairie Center #5
123,Prairie Center #6,Prairie Center #6
166,Prairie Center #7,Prairie Center #7
166,Prairie Center #8,Prairie Center #8
136,Sandstone #1,SandStone #1
38,Cottonwood Cr No 1,Cottonwood Creek No. 1
41,Earl Rutherford,Earl Rutherford
42,Ed Preuit,Ed Preuit
43,Ed Wilhelm,Ed Wilhelm
110,PC No 1A,Platte County #1A
111,PC No 2,Platte County #2
112,PC No 3,Platte County #3
113,PC No 4,Platte County #4
114,PC No 5,Platte County #5
115,PC No 6,Platte County #6
116,PC No 7,Platte County #7
117,PC No 7B,Platte County #7B
118,PC No 8,Platte County #8
119,PC No 9,Platte County #9
#N/A,Goshen County No. 1(New),NA
